company,product_or_plan,item_type,entry_price_usd,entry_billing_term,renewal_price_usd,monthly_bill_price_usd,platform_txn_fee,card_processing_usd,notes,captured_on,confidence
Hostinger,Premium web hosting / AI Builder,plan,2.99,48 months prepaid,10.99,11.99,0.0%,-,"3 sites, weekly backups, 20 entry processes, 5 AI build credits, free domain yr 1, no ecommerce",2026-09,medium
Hostinger,Business web hosting / AI Builder,plan,3.99,48 months prepaid,16.99,18.99,0.0%,-,"Unlimited sites, daily backups, staging, ecommerce to 1000 products, 30 entry processes, 15 build + 500 agent credits, Reach included",2026-09,medium
Hostinger,Cloud Startup,plan,7.99,48 months prepaid,25.99,,-,,"Higher resources, 40 entry processes, priority support, 1000 agent credits",2026-09,medium
Hostinger,12-month Premium / Business,plan,3.99 / 4.99,12 months,-,,,,Same plans at higher monthly-equivalent without the multi-year lock,2026-09,medium
Hostinger,Horizons / AI Builder app tiers,plan,6.99 / 9.99-13.99 / 29.99-39.99 / 59.99-79.99,annual,-,,,,Explorer/Starter/Hobbyist/Hustler; 30/70/200/400 AI credits; code editor + ZIP export from Hobbyist only,2026-09,medium
Hostinger,AI credit top-ups,add-on,4.99,one-time,299.99,,-,,10 credits $4.99 to 1000 credits $299.99; 50 credits $19.99 marked recommended; unused credits do not roll over; one reviewer ran out mid-project,2026-09,low
Hostinger,Managed WordPress,plan,2.99-7.99,12-48 months,10.99-25.99,,,,"Mirrors shared tiers plus onboarding, migration, staging, auto-updates, AI content",2026-09,medium
Hostinger,VPS KVM,plan,4.99-59.99,monthly/annual,same 2-3x renewal pattern,,,,Shared vCPU; sustained-load throttling/restriction reported (75% and 20% CPU cases),2026-09,medium
Hostinger,Hostinger Mail,add-on,0.99,per mailbox per month,-,,,,1GB mailbox caps reported on included tiers,2026-09,low
Hostinger,.com domain,add-on,4.99,first year,17.99-21.99,,-,,96-hour refund window on domains; renewals never refundable; dynamic renewal pricing reported,2026-09,medium
Hostinger,Uptime SLA,policy,-,-,-,,-,,99.9% network availability only; ~5% one-month fee credit; must claim within ~30 days; validated with Hostinger's own monitoring data,2026-09,medium
Hostinger,Refund policy,policy,-,30 days,-,,,,30 days hosting/cloud/VPS/email; domains 96 hours; crypto non-refundable; refunds default to account store credit unless requested,2026-09,medium
Hostinger,Support model,policy,-,-,-,,,-,Chat 24/7 only; no phone; no default ticket queue; email 24-72h; specialised agentic work now a paid tier (Hostinger Agent),2026-09,high
GoDaddy,Website Builder Basic,plan,9.99,annual,16.99,,0.0%,-,"Custom domain, SSL, basic SEO, Airo content help; no free domain bundled",2026-09,medium
GoDaddy,Website Builder Premium,plan,14.99,annual,29.99,,,-,Adds appointment scheduling,2026-09,medium
GoDaddy,Website Builder Commerce,plan,20.99,annual,34.99,,0.0%,2.7% + 0.30,Unlimited products; zero percent platform fee; GoDaddy Payments,2026-09,medium
GoDaddy,Free website plan,plan,0.00,permanent,-,,-,,GoDaddy branding + subdomain; useful as a demo only,2026-09,medium
GoDaddy,Web hosting Economy/Deluxe/Ultimate,plan,5.99/7.99/21.99,3-year term,11.99/16.99/higher,,,,Economy = 1 website; cPanel-based tiers; free tier of some promos on non-core hosting,2026-09,medium
GoDaddy,Managed WordPress,plan,6.99/9.99/14.99,annual,14.99/19.99/26.99,,,,Airo toolkit bundled; Airo for WordPress launched 11 May 2026,2026-09,medium
GoDaddy,.com domain,add-on,4.99,first year,21.99-22.99,,-,,Promos as low as $0.01; renewal multiplier ~+2100%; domain privacy sold as add-on,2026-09,high
GoDaddy,Airo Plus,add-on,4.99,annual ($59.88),7.99 ($95.88),,,-,"AI image generation, marketing consultant, SEO optimiser; the more capable AI is the paid one",2026-09,medium
